Subject,Task,SequenceOrder,ListNo,RunNo,TrialNo,Aud_Probe_Dist,Aud_Standard_Vel,Aud_Probe_Vel,Main_Control,Aud_Std_StartCode,Aud_Probe_StartCode,Aud_Std_StartPt,Aud_Std_EndPt,Aud_Probe_StartPt,Aud_Probe_EndPt,RespIndex,RespMiddle,RespRing,ISI_Cross_Std,ISI_Cross_Probe,ISI_Std_Probe,ISI_Probe_Response,ITI,TrialOnset,StdOnset,StdOnsetByStop,StdOffset,StdDur,ProbeOnset,ProbeOnsetByStop,ProbeOffset,ProbeDur,RespWinStart,RespTime,RT,CorrectKC,CorrectResponse,CorrectFinger,SubjRespKC,SubjResponse,SubjRespFinger
222,Spatial,3421,4,2,1,1200,10,7.5,1,r,r,0,800,0,1200,L,S,=,0.294647432461268,0.497673749353748,1.05461087965079,1.14098929827063,1.96441899896633,277099.895049574,277100.200644062,277100.200644062,277101.000184692,0.8,277102.080593157,277102.080593157,277103.680211165,1.6,277104.961771436,277106.276541406,1.31476996996207,66,Longer,Index,77,=,Ring
222,Spatial,3421,4,2,2,800,5,5,1,m,m,-800,-400,-800,0,S,=,L,0.231032808815067,0.37333292975625,1.89704743893361,1.83418525621404,1.11384889953743,277108.411804108,277108.660655752,277108.660655752,277109.460550869,0.8,277111.390554449,277111.390554449,277112.990445459,1.6,277114.978463268,277115.468571012,0.490107744582929,77,Longer,Ring,77,L,Ring
222,Spatial,3421,4,2,3,800,7.5,3.33333333333333,1,l,l,-1600,-400,-1600,-800,=,L,S,0.456758307875745,0.294108550722324,1.05004439577733,1.88413156601725,1.08071161351577,277116.745174654,277117.220738467,277117.220738467,277118.820428977,1.6,277119.890695602,277119.890695602,277122.290705053,2.4,277124.328522584,277124.772755299,0.444232715002727,77,Shorter,Ring,78,L,Middle
222,Spatial,3421,4,2,4,800,1.66666666666667,5,1,l,l,-1600,-1200,-1600,-800,=,L,S,0.240227529984614,0.251693614874149,1.46280024163899,1.71616767832023,1.06263440859443,277126.011895986,277126.270949138,277126.270949138,277128.670842138,2.4,277130.160961155,277130.160961155,277131.76082169,1.6,277133.62857526,277133.972379897,0.343804636620916,78,Longer,Middle,78,L,Middle
222,Spatial,3421,4,2,5,1600,3.75,5,2,m,m,-800,400,-800,800,=,L,S,0.347648086331897,0.487654833376956,1.92290305205456,1.61875470959912,1.08234395934937,277135.195297618,277135.561138751,277135.561138751,277138.760969259,3.2,277140.720772793,277140.720772793,277143.920827862,3.2,277145.678711184,277146.300675674,0.621964489808306,78,Longer,Middle,66,=,Index
222,Spatial,3421,4,2,6,1200,5,5,1,m,m,-800,800,-800,400,S,=,L,0.4474593405972,0.45179575865524,1.06777273074126,1.227910769483,1.35735626026568,277147.545410829,277148.011265565,277148.011265565,277151.211210598,3.2,277152.311089188,277152.311089188,277154.711076182,2.4,277156.095378011,277156.604578296,0.509200285130646,66,Shorter,Index,78,=,Middle
222,Spatial,3421,4,2,7,800,7.5,3.33333333333333,1,l,l,-1600,-400,-1600,-800,L,S,=,0.201589252944768,0.426025342048546,1.19742214474115,1.83827883816531,1.78150128095831,277158.11212645,277158.331432536,277158.331432536,277159.931019105,1.6,277161.161325266,277161.161325266,277163.561134215,2.4,277165.545433927,277166.028507442,0.4830735156429,78,Shorter,Middle,66,L,Index
222,Spatial,3421,4,2,8,800,5,5,1,l,l,-1600,-1200,-1600,-800,L,S,=,0.355155706837556,0.4394869370112,1.26902506388301,1.29369356228676,1.0160777884467,277167.995485672,277168.361472129,277168.361472129,277169.16132875,0.8,277170.46129742,277170.46129742,277172.061329905,1.6,277173.511784667,277173.916368802,0.404584134521429,66,Longer,Index,66,L,Index
222,Spatial,3421,4,2,9,1200,2.5,5,1,m,m,-800,0,-800,400,=,L,S,0.374445165479891,0.454324243895486,1.2821331749673,1.9563247703954,1.06169421257603,277175.078910915,277175.471707771,277175.471707771,277178.671569075,3.2,277179.971752042,277179.971752042,277182.371625793,2.4,277184.462226829,277184.948366572,0.486139742657542,78,Longer,Middle,66,=,Index
222,Spatial,3421,4,2,10,1600,7.5,20,2,r,r,0,1200,0,1600,=,L,S,0.494080685671161,0.327524969242591,1.49157201432245,1.62228972334621,1.66800856130122,277186.145649381,277186.65181284,277186.65181284,277188.251680753,1.6,277189.771690833,277189.771690833,277190.571475273,0.8,277192.328934815,277192.764524799,0.435589984059334,78,Longer,Middle,77,S,Ring
222,Spatial,3421,4,2,11,1200,10,5,1,r,r,0,1600,0,1200,S,=,L,0.476073644603865,0.488525619642721,1.59118556676498,1.32266208956755,1.11866534948841,277194.579029933,277195.071769173,277195.071769173,277196.671623933,1.6,277198.282138717,277198.282138717,277200.681915587,2.4,277202.145684281,277202.75641075,0.610726469371002,66,Shorter,Index,78,=,Middle
222,Spatial,3421,4,2,12,1200,5,5,1,l,l,-1600,-800,-1600,-400,L,S,=,0.256042471283201,0.267231719999433,1.23121585070044,1.39761940540527,1.377414583462,277204.029084565,277204.301882486,277204.301882486,277205.901697467,1.6,277207.162191752,277207.162191752,277209.562061654,2.4,277211.112385016,277211.580631056,0.468246039876249,66,Longer,Index,66,L,Index
