Subject,Task,SequenceOrder,ListNo,RunNo,TrialNo,Aud_Probe_Dist,Aud_Standard_Vel,Aud_Probe_Vel,Main_Control,Aud_Std_StartCode,Aud_Probe_StartCode,Aud_Std_StartPt,Aud_Std_EndPt,Aud_Probe_StartPt,Aud_Probe_EndPt,RespIndex,RespMiddle,RespRing,ISI_Cross_Std,ISI_Cross_Probe,ISI_Std_Probe,ISI_Probe_Response,ITI,TrialOnset,StdOnset,StdOnsetByStop,StdOffset,StdDur,ProbeOnset,ProbeOnsetByStop,ProbeOffset,ProbeDur,RespWinStart,RespTime,RT,CorrectKC,CorrectResponse,CorrectFinger,SubjRespKC,SubjResponse,SubjRespFinger
229,Temporal,4132,1,2,1,800,5,5,1,m,m,-800,400,-800,0,S,=,L,0.218980783688054,0.234669381715985,1.17611902135989,1.66697115094769,1.1933822523052,1211642.06756377,1211642.29842873,1211642.29842873,1211644.69693137,2.4,1211645.92694881,1211645.92694881,1211647.52696654,1.6,1211649.33426549,1211650.08064838,0.746382890501991,66,Shorter,Index,66,S,Index
229,Temporal,4132,1,2,2,800,7.5,3.33333333333333,1,m,m,-800,400,-800,0,S,=,L,0.361760625005515,0.322822523862602,1.24416773137943,1.41170574455429,1.32396584790342,1211651.45096667,1211651.82709529,1211651.82709529,1211653.42705271,1.6,1211654.69707514,1211654.69707514,1211657.09710672,2.4,1211658.66766276,1211660.08869185,1.42102909483947,77,Longer,Ring,77,L,Ring
229,Temporal,4132,1,2,3,800,7.5,3.33333333333333,1,l,l,-1600,-400,-1600,-800,L,S,=,0.485778033924472,0.449970161827492,1.70706452898814,1.37153261816679,1.67855443444305,1211661.58435135,1211662.08718147,1211662.08718147,1211663.68723609,1.6,1211665.42722887,1211665.42722887,1211667.82727201,2.4,1211669.33440316,1211669.87265117,0.538248006487265,66,Longer,Index,66,L,Index
229,Temporal,4132,1,2,4,1600,7.5,20,2,m,m,-800,400,-800,800,S,=,L,0.448644738697838,0.245669499150758,1.52347664660825,1.9400225981407,1.70477752565098,1211671.71775091,1211672.1773272,1211672.1773272,1211673.77735647,1.6,1211675.3273699,1211675.3273699,1211676.12738724,0.8,1211678.21776724,1211678.74461165,0.526844403939322,66,Shorter,Index,66,S,Index
229,Temporal,4132,1,2,5,1200,10,7.5,1,r,r,0,800,0,1200,S,=,L,0.379245706704969,0.376025913264022,1.21175862769196,1.26726836470144,1.91689127795765,1211680.61779992,1211681.00745604,1211681.00745604,1211681.80746761,0.8,1211683.04750434,1211683.04750434,1211684.64752752,1.6,1211686.06782844,1211686.56061044,0.492781999520957,77,Longer,Ring,78,=,Middle
229,Temporal,4132,1,2,6,1200,20,7.5,1,l,l,-1600,0,-1600,-400,=,L,S,0.34068327072727,0.202094147955059,1.70209184885464,1.59347719498871,1.36369124728451,1211688.65115075,1211689.0075773,1211689.0075773,1211689.80758117,0.8,1211691.53761625,1211691.53761625,1211693.13763077,1.6,1211694.88455063,1211695.43263443,0.548083800589666,78,Longer,Middle,66,=,Index
229,Temporal,4132,1,2,7,1600,7.5,20,2,r,r,0,1200,0,1600,S,=,L,0.337862267107002,0.318260925312835,1.52849960000433,1.94538740330329,1.46121629365598,1211696.95124911,1211697.30770633,1211697.30770633,1211698.90771989,1.6,1211700.45774582,1211700.45774582,1211701.25776124,0.8,1211703.35126265,1211704.05666714,0.705404489766806,66,Shorter,Index,66,S,Index
229,Temporal,4132,1,2,8,1200,3.33333333333333,7.5,1,l,l,-1600,-800,-1600,-400,S,=,L,0.273810050161447,0.492139768061855,1.20343699545981,1.75162721611471,1.93652853339863,1211705.70127796,1211705.98782198,1211705.98782198,1211708.38785325,2.4,1211709.61787903,1211709.61787903,1211711.21791601,1.6,1211713.11796922,1211713.4886343,0.370665080612525,66,Shorter,Index,66,S,Index
229,Temporal,4132,1,2,9,400,5,5,2,m,m,-800,0,-800,-400,=,L,S,0.277449062307493,0.45752343270266,1.0825560822355,1.60855785281457,1.2572175276708,1211715.60135106,1211715.89796722,1211715.89796722,1211717.49798239,1.6,1211718.61800992,1211718.61800992,1211719.41801988,0.8,1211721.16804171,1211722.30467255,1.13663084246218,77,Shorter,Ring,77,S,Ring
229,Temporal,4132,1,2,10,800,3.75,3.33333333333333,1,r,r,0,1200,0,800,S,=,L,0.423590344426284,0.437363180495342,1.67432454915998,1.6068631819844,1.99896536439406,1211723.75140175,1211724.18808819,1211724.18808819,1211727.38812529,3.2,1211729.08815735,1211729.08815735,1211731.48818573,2.4,1211733.23477329,1211733.64066212,0.405888836830854,66,Shorter,Index,78,=,Middle
229,Temporal,4132,1,2,11,800,3.75,3.33333333333333,1,r,r,0,1200,0,800,=,L,S,0.369286401421563,0.267460548739784,1.91795326783856,1.57115390184244,1.17298499505364,1211735.81813188,1211736.19825601,1211736.19825601,1211739.39830017,3.2,1211741.34833977,1211741.34833977,1211743.74837104,2.4,1211745.46816295,1211746.32064689,0.852483939146623,77,Shorter,Ring,77,S,Ring
229,Temporal,4132,1,2,12,1200,10,5,1,l,l,-1600,0,-1600,-400,S,=,L,0.286686793668788,0.276765956979382,1.00312403587395,1.44038957134373,1.47943742455377,1211747.6682062,1211747.96842853,1211747.96842853,1211749.56846262,1.6,1211750.59846472,1211750.59846472,1211752.99851716,2.4,1211754.58489035,1211755.01667145,0.43178110010922,77,Longer,Ring,78,=,Middle
229,Temporal,4132,1,2,13,1200,5,5,1,m,m,-800,0,-800,400,S,=,L,0.322755197169606,0.318110524999906,1.57374654695339,1.62876646152021,1.77079589820226,1211756.66825683,1211757.00856345,1211757.00856345,1211758.60859529,1.6,1211760.20860798,1211760.20860798,1211762.60865239,2.4,1211764.38496131,1211765.00066823,0.615706922952086,77,Longer,Ring,78,=,Middle
229,Temporal,4132,1,2,14,800,5,5,1,r,r,0,400,0,800,L,S,=,0.416953915987559,0.304710082005647,1.18119001380639,1.33008483392792,1.62185783580671,1211766.95166482,1211767.38871754,1211767.38871754,1211768.18873712,0.8,1211769.39874934,1211769.39874934,1211770.9987645,1.6,1211772.48501235,1211773.40072039,0.915708045475185,66,Longer,Index,66,L,Index
229,Temporal,4132,1,2,15,800,15,5,1,r,r,0,1200,0,800,L,S,=,0.299971744337619,0.361158997216087,1.15301325947084,1.23333415158823,1.50495340779386,1211775.1850307,1211775.49885084,1211775.49885084,1211776.29884188,0.8,1211777.48886908,1211777.48886908,1211779.08887237,1.6,1211780.46837797,1211781.50468628,1.03630830720067,66,Longer,Index,77,=,Ring
229,Temporal,4132,1,2,16,1200,3.33333333333333,7.5,1,l,l,-1600,-800,-1600,-400,S,=,L,0.247078597030748,0.200118101733318,1.73827828489303,1.85299594368174,1.30414794001668,1211783.18508721,1211783.44897509,1211783.44897509,1211785.84897876,2.4,1211787.61901659,1211787.61901659,1211789.219034,1.6,1211791.21845559,1211791.85667875,0.63822316005826,66,Shorter,Index,66,S,Index
229,Temporal,4132,1,2,17,1600,3.75,5,2,l,l,-1600,-400,-1600,0,L,S,=,0.333558828427931,0.443373185109431,1.07129158959377,1.25065389870389,1.00764546413708,1211793.35181231,1211793.69910036,1211793.69910036,1211796.89914517,3.2,1211798.00916335,1211798.00916335,1211801.20921328,3.2,1211802.6018446,1211803.1526906,0.550846002530307,77,Equals to,Ring,77,=,Ring
229,Temporal,4132,1,2,18,400,10,5,2,m,m,-800,0,-800,-400,=,L,S,0.322624193999539,0.336455112655873,1.60059566058978,1.31604325272003,1.72477502580074,1211804.33520003,1211804.66925806,1211804.66925806,1211805.46926578,0.8,1211807.099294,1211807.099294,1211807.89930492,0.8,1211809.36855662,1211810.00066278,0.632106152828783,66,Equals to,Index,66,=,Index
229,Temporal,4132,1,2,19,1200,6.66666666666667,7.5,1,m,m,-800,800,-800,400,=,L,S,0.494566342707347,0.373935375415688,1.94825356759349,1.02580690951369,1.9172639848962,1211811.90192935,1211812.40936853,1211812.40936853,1211814.80939659,2.4,1211816.77942986,1211816.77942986,1211818.37945401,1.6,1211819.55194759,1211821.36066279,1.80871519935317,77,Shorter,Ring,77,S,Ring
229,Temporal,4132,1,2,20,800,5,5,1,l,l,-1600,-1200,-1600,-800,S,=,L,0.245867719487198,0.398848769632493,1.92135322777794,1.33203869928439,1.74086393682541,1211823.45193806,1211823.70953958,1211823.70953958,1211824.50953864,0.8,1211826.45956894,1211826.45956894,1211828.05959276,1.6,1211829.53534712,1211831.48871995,1.95337283355184,77,Longer,Ring,77,L,Ring
229,Temporal,4132,1,2,21,400,1.66666666666667,1.25,2,m,m,-800,-400,-800,-400,L,S,=,0.499028395360931,0.22969662845347,1.31707041269976,1.92826503237872,1.01948641517631,1211833.41869911,1211833.92967916,1211833.92967916,1211836.3297255,2.4,1211837.67973289,1211837.67973289,1211840.87978636,3.2,1211842.96876345,1211843.66473191,0.695968463318422,66,Longer,Index,66,L,Index
229,Temporal,4132,1,2,22,1200,5,5,1,m,m,-800,800,-800,400,L,S,=,0.485224888172208,0.426719183686896,1.96649706630733,1.5220197775349,1.24656733774632,1211844.85211423,1211845.34986198,1211845.34986198,1211848.54989748,3.2,1211850.54993634,1211850.54993634,1211852.94995959,2.4,1211854.61879561,1211855.05672328,0.43792766937986,78,Shorter,Middle,78,S,Middle
