Subject,Task,SequenceOrder,ListNo,RunNo,TrialNo,Aud_Probe_Dist,Aud_Standard_Vel,Aud_Probe_Vel,Main_Control,Aud_Std_StartCode,Aud_Probe_StartCode,Aud_Std_StartPt,Aud_Std_EndPt,Aud_Probe_StartPt,Aud_Probe_EndPt,RespIndex,RespMiddle,RespRing,ISI_Cross_Std,ISI_Cross_Probe,ISI_Std_Probe,ISI_Probe_Response,ITI,TrialOnset,StdOnset,StdOnsetByStop,StdOffset,StdDur,ProbeOnset,ProbeOnsetByStop,ProbeOffset,ProbeDur,RespWinStart,RespTime,RT,CorrectKC,CorrectResponse,CorrectFinger,SubjRespKC,SubjResponse,SubjRespFinger
224,Spatial,1243,1,0,1,1600,10,20,2,m,m,-800,800,-800,800,S,=,L,0.276607022905753,0.217547988012385,1.95442606864974,1.9669267982102,1.16769763639371,694740.227701202,694740.515510419,694740.515510419,694742.117075696,1.6,694744.097386187,694744.097386187,694744.897351881,0.8,694747.011098434,694747.685427177,0.674328743247315,78,Equals to,Middle,66,S,Index
224,Spatial,1243,1,0,2,800,2.5,3.33333333333333,1,l,l,-1600,-1200,-1600,-800,S,=,L,0.317237861817883,0.432399399792028,1.1345100313248,1.1379274513743,1.79601246185723,694749.02781483,694749.357500919,694749.357500919,694750.957316541,1.6,694752.127659966,694752.127659966,694754.527240826,2.4,694755.811153714,694756.333555008,0.522401293972507,77,Longer,Ring,77,L,Ring
224,Spatial,1243,1,0,3,400,2.5,1.25,2,l,l,-1600,-800,-1600,-1200,S,=,L,0.315050599309295,0.491592464485306,1.32537593910554,1.44483447584804,1.03029250935311,694758.294545144,694758.627383756,694758.627383756,694761.827375306,3.2,694763.187529028,694763.187529028,694766.387598854,3.2,694767.977882937,694768.557512449,0.579629512038082,66,Shorter,Index,78,=,Middle
224,Spatial,1243,1,0,4,800,5,5,1,m,m,-800,-400,-800,0,L,S,=,0.292641491393697,0.257753564611848,1.12508274223576,1.69767152719331,1.64834993748266,694769.744623837,694770.047944159,694770.047944159,694770.847489922,0.8,694771.997669327,694771.997669327,694773.597720418,1.6,694775.444623773,694776.4614954,1.01687162718736,66,Longer,Index,66,L,Index
224,Spatial,1243,1,0,5,800,2.5,3.33333333333333,1,r,r,0,400,0,800,=,L,S,0.2093222615054,0.282345177079665,1.95854578319001,1.87658505280367,1.13242379525229,694778.261310682,694778.487858877,694778.487858877,694780.087898419,1.6,694782.088077792,694782.088077792,694784.48796598,2.4,694786.528001216,694787.053480928,0.525479711475782,78,Longer,Middle,78,L,Middle
224,Spatial,1243,1,0,6,800,1.25,3.33333333333333,1,r,r,0,400,0,800,=,L,S,0.305108523379453,0.495256629379901,1.35075353972499,1.64873513367624,1.29470983322407,694788.344749078,694788.668126272,694788.668126272,694791.867836799,3.2,694793.247930942,694793.247930942,694795.647913766,2.4,694797.444741186,694797.997690866,0.552949679549783,78,Longer,Middle,66,=,Index
224,Spatial,1243,1,0,7,800,7.5,3.33333333333333,1,l,l,-1600,-400,-1600,-800,=,L,S,0.267716664559556,0.244456478495003,1.08658175419542,1.32101496950241,1.04959484969523,694799.428190361,694799.708024115,694799.708024115,694801.308011046,1.6,694802.428211169,694802.428211169,694804.828215487,2.4,694806.294802428,694807.14167682,0.846874392475002,77,Shorter,Ring,78,L,Middle
224,Spatial,1243,1,0,8,1200,10,7.5,1,m,m,-800,0,-800,400,=,L,S,0.381965811651353,0.250566389454658,1.41688519941465,1.14903155268513,1.51478418131145,694808.344868737,694808.738405684,694808.738405684,694809.538241773,0.8,694810.998380225,694810.998380225,694812.59821285,1.6,694813.89488404,694814.50955413,0.614670090260915,78,Longer,Middle,78,L,Middle
224,Spatial,1243,1,0,9,1600,5,5,2,l,l,-1600,0,-1600,0,L,S,=,0.220770374166796,0.413607586445356,1.52466643202914,1.22478309925043,1.25531166985572,694816.178284517,694816.418491826,694816.418491826,694819.618315917,3.2,694821.168472096,694821.168472096,694824.368418092,3.2,694825.728277042,694826.157540808,0.429263765458018,77,Equals to,Ring,77,=,Ring
224,Spatial,1243,1,0,10,800,1.25,3.33333333333333,1,l,l,-1600,-1200,-1600,-800,S,=,L,0.416395058565978,0.432230007191809,1.22857420066204,1.71374597046971,1.66082906031365,694827.56168801,694827.988620461,694827.988620461,694831.188493635,3.2,694832.458656256,694832.458656256,694834.858508835,2.4,694836.728394777,694837.05360957,0.325214793090709,77,Longer,Ring,78,=,Middle
