Subject,Task,SequenceOrder,ListNo,RunNo,TrialNo,Aud_Probe_Dist,Aud_Standard_Vel,Aud_Probe_Vel,Main_Control,Aud_Std_StartCode,Aud_Probe_StartCode,Aud_Std_StartPt,Aud_Std_EndPt,Aud_Probe_StartPt,Aud_Probe_EndPt,RespIndex,RespMiddle,RespRing,ISI_Cross_Std,ISI_Cross_Probe,ISI_Std_Probe,ISI_Probe_Response,ITI,TrialOnset,StdOnset,StdOnsetByStop,StdOffset,StdDur,ProbeOnset,ProbeOnsetByStop,ProbeOffset,ProbeDur,RespWinStart,RespTime,RT,CorrectKC,CorrectResponse,CorrectFinger,SubjRespKC,SubjResponse,SubjRespFinger
232,Spatial,3421,2,3,1,1200,5,5,1,r,r,0,800,0,1200,=,L,S,0.241523294619313,0.340017658385883,1.89852817213125,1.90756046333083,1.19611391157139,1298610.06567815,1298610.31844261,1298610.31844261,1298611.91840869,1.6,1298613.84892524,1298613.84892524,1298616.24864949,2.4,1298618.29905306,1298619.1784308,0.879377746488899,78,Longer,Middle,66,=,Index
232,Spatial,3421,2,3,2,800,7.5,3.33333333333333,1,l,l,-1600,-400,-1600,-800,=,L,S,0.375079938368733,0.473545609889519,1.73263632375674,1.19975034974121,1.81640667286182,1298620.53243182,1298620.91870484,1298620.91870484,1298622.5186337,1.6,1298624.27909655,1298624.27909655,1298626.67857604,2.4,1298628.03243342,1298628.60272085,0.570287432521582,77,Shorter,Ring,66,=,Index
232,Spatial,3421,2,3,3,400,5,5,2,r,r,0,800,0,400,=,L,S,0.247760307564482,0.495953534333497,1.70219953528941,1.83616668320379,1.72907371828047,1298630.56581064,1298630.82912051,1298630.82912051,1298632.4289124,1.6,1298634.16907264,1298634.16907264,1298634.96879452,0.8,1298636.94915735,1298637.41872028,0.4695629326161,77,Shorter,Ring,77,S,Ring
232,Spatial,3421,2,3,4,800,1.66666666666667,5,1,l,l,-1600,-1200,-1600,-800,S,=,L,0.3723202620079,0.292876155945134,1.88987617305663,1.00882171804643,1.97168196785212,1298639.29921314,1298639.68919688,1298639.68919688,1298642.08896797,2.4,1298644.0089298,1298644.0089298,1298645.60890711,1.6,1298646.74920842,1298647.58661947,0.837411049520597,77,Longer,Ring,78,=,Middle
232,Spatial,3421,2,3,5,1600,6.66666666666667,5,2,m,m,-800,800,-800,800,S,=,L,0.233793758519185,0.211918392243304,1.16100042838282,1.29284152542292,1.98808775870377,1298649.6992916,1298649.94924937,1298649.94924937,1298652.34904806,2.4,1298653.53946119,1298653.53946119,1298656.73930549,3.2,1298658.16594743,1298658.63461051,0.46866308269091,78,Equals to,Middle,78,=,Middle
232,Spatial,3421,2,3,6,800,15,5,1,m,m,-800,400,-800,0,S,=,L,0.241716947924524,0.210000111895701,1.09679972709181,1.91042679672377,1.92111934266826,1298660.76603802,1298661.01932636,1298661.01932636,1298661.81910823,0.8,1298662.94945533,1298662.94945533,1298664.54924593,1.6,1298666.61599051,1298667.22641318,0.610422669677064,66,Shorter,Index,66,S,Index
232,Spatial,3421,2,3,7,1200,5,5,1,r,r,0,800,0,1200,S,=,L,0.350127569103069,0.281101510231608,1.22021787719758,1.26291886608047,1.88395967271985,1298669.29942711,1298669.66960324,1298669.66960324,1298671.26935214,1.6,1298672.51962246,1298672.51962246,1298674.91940703,2.4,1298676.33272156,1298676.85849609,0.525774528738111,77,Longer,Ring,78,=,Middle
232,Spatial,3421,2,3,8,1200,6.66666666666667,7.5,1,l,l,-1600,0,-1600,-400,=,L,S,0.397067588824707,0.337843585991149,1.713570903695,1.6772806376381,1.56645851563217,1298678.89947119,1298679.3096799,1298679.3096799,1298681.70951805,2.4,1298683.4595837,1298683.4595837,1298685.05941664,1.6,1298686.88278338,1298687.40243989,0.51965651079081,77,Shorter,Ring,77,S,Ring
232,Spatial,3421,2,3,9,1200,5,5,1,r,r,0,1600,0,1200,=,L,S,0.304943286506808,0.236808701895249,1.38978164228487,1.07309956237176,1.0011020913722,1298689.11620032,1298689.43982389,1298689.43982389,1298692.63973716,3.2,1298694.05010444,1298694.05010444,1298696.44989671,2.4,1298697.66617648,1298699.43450182,1.76832534209825,77,Shorter,Ring,66,=,Index
232,Spatial,3421,2,3,10,1600,3.75,5,2,r,r,0,1200,0,1600,=,L,S,0.206523717216967,0.301118321663825,1.3135641294126,1.71588138712948,1.50162559551524,1298700.58289752,1298700.80008439,1298700.80008439,1298703.99999061,3.2,1298705.35006505,1298705.35006505,1298708.5498731,3.2,1298710.41624978,1298710.8828376,0.466587813571095,78,Longer,Middle,66,=,Index
232,Spatial,3421,2,3,11,800,5,5,1,r,r,0,1200,0,800,S,=,L,0.470700762413513,0.246106798621462,1.01204742508286,1.87828107926318,1.61086344326856,1298712.53300509,1298713.02021306,1298713.02021306,1298715.42002008,2.4,1298716.46007324,1298716.46007324,1298718.05987378,1.6,1298720.09969932,1298720.61865477,0.518955458188429,66,Shorter,Index,66,S,Index
232,Spatial,3421,2,3,12,1200,20,7.5,1,r,r,0,1600,0,1200,=,L,S,0.331164754051932,0.25268557509333,1.63355345158601,1.03432166354455,1.83076317467365,1298722.36637788,1298722.71027358,1298722.71027358,1298723.51022067,0.8,1298725.18034595,1298725.18034595,1298726.78017183,1.6,1298727.96634561,1298729.17085891,1.20451330160722,77,Shorter,Ring,78,L,Middle
232,Spatial,3421,2,3,13,800,5,5,1,r,r,0,400,0,800,=,L,S,0.420447243711961,0.279208960677496,1.19586709741874,1.88858720835937,1.33299845405979,1298731.14976804,1298731.59035292,1298731.59035292,1298732.39031701,0.8,1298733.61049384,1298733.61049384,1298735.21032968,1.6,1298737.2497971,1298737.70682661,0.457029509358108,78,Longer,Middle,78,L,Middle
