Subject,Task,SequenceOrder,ListNo,RunNo,TrialNo,Aud_Probe_Dist,Aud_Standard_Vel,Aud_Probe_Vel,Main_Control,Aud_Std_StartCode,Aud_Probe_StartCode,Aud_Std_StartPt,Aud_Std_EndPt,Aud_Probe_StartPt,Aud_Probe_EndPt,RespIndex,RespMiddle,RespRing,ISI_Cross_Std,ISI_Cross_Probe,ISI_Std_Probe,ISI_Probe_Response,ITI,TrialOnset,StdOnset,StdOnsetByStop,StdOffset,StdDur,ProbeOnset,ProbeOnsetByStop,ProbeOffset,ProbeDur,RespWinStart,RespTime,RT,CorrectKC,CorrectResponse,CorrectFinger,SubjRespKC,SubjResponse,SubjRespFinger
226,Temporal,4132,4,1,1,1600,5,5,2,l,l,-1600,-400,-1600,0,S,=,L,0.411370766526081,0.257270845986804,1.20209713643156,1.53744479038234,1.57397342968835,777670.077235045,777670.499671774,777670.499671774,777672.89863509,2.4,777674.128988729,777674.128988729,777677.328917723,3.2,777679.010633957,777679.469360507,0.458726549171843,77,Longer,Ring,77,L,Ring
226,Temporal,4132,4,1,2,1200,20,7.5,1,l,l,-1600,0,-1600,-400,S,=,L,0.260038456215413,0.433760256471644,1.532800596084,1.75685342172025,1.12685225638964,777681.210683931,777681.489045845,777681.489045845,777682.288864611,0.8,777683.859103326,777683.859103326,777685.45899177,1.6,777687.360667281,777687.813328752,0.452661470975727,77,Longer,Ring,77,L,Ring
226,Temporal,4132,4,1,3,1200,2.5,5,1,m,m,-800,0,-800,400,=,L,S,0.491229088077133,0.436407882412444,1.43632795755407,1.08696169630864,1.07334677651998,777689.094061439,777689.599168243,777689.599168243,777692.799111994,3.2,777694.259189173,777694.259189173,777696.659082493,2.4,777697.894065353,777699.053451735,1.15938638243824,77,Shorter,Ring,66,=,Index
226,Temporal,4132,4,1,4,1600,6.66666666666667,5,2,l,l,-1600,0,-1600,0,S,=,L,0.457181148823484,0.225463294053861,1.25862597259742,1.51805623233322,1.73180992363519,777700.277509908,777700.749375193,777700.749375193,777703.14934711,2.4,777704.439433149,777704.439433149,777707.639395185,3.2,777709.310386996,777709.853233975,0.54284697805997,77,Longer,Ring,78,=,Middle
226,Temporal,4132,4,1,5,400,10,5,2,r,r,0,800,0,400,=,L,S,0.469868660444389,0.223109385622991,1.33018821289969,1.57685957827119,1.54951664787997,777711.744190433,777712.229673128,777712.229673128,777713.029550922,0.8,777714.389721005,777714.389721005,777715.189542979,0.8,777716.927522131,777717.301355453,0.373833322781138,66,Equals to,Index,66,=,Index
226,Temporal,4132,4,1,6,1200,10,7.5,1,l,l,-1600,-800,-1600,-400,=,L,S,0.363114783170872,0.24242342184077,1.92079403349339,1.53794542445893,1.76218022815047,777719.010896366,777719.389618348,777719.389618348,777720.189476252,0.8,777722.149867817,777722.149867817,777723.749414927,1.6,777725.427576346,777725.885586231,0.458009884576313,78,Longer,Middle,78,L,Middle
226,Temporal,4132,4,1,7,1600,10,20,2,l,l,-1600,0,-1600,0,=,L,S,0.239245284196826,0.367727661805073,1.20825574635761,1.73782007853339,1.29007020075246,777727.794339783,777728.049687398,777728.049687398,777729.649568463,1.6,777730.879986905,777730.879986905,777731.679533951,0.8,777733.560596641,777734.021432792,0.460836151614785,77,Shorter,Ring,77,S,Ring
226,Temporal,4132,4,1,8,400,1.25,1.25,2,r,r,0,400,0,400,L,S,=,0.307593629482682,0.250327949102783,1.29031315378512,1.04357116912696,1.58356678420479,777735.477695947,777735.799937784,777735.799937784,777738.99990784,3.2,777740.319965142,777740.319965142,777743.519881624,3.2,777744.711040984,777746.277447352,1.56640636781231,77,Equals to,Ring,66,L,Index
226,Temporal,4132,4,1,9,1200,10,7.5,1,r,r,0,800,0,1200,=,L,S,0.426782947210592,0.427677266705721,1.19507948095763,1.38528869428972,1.04638858314566,777748.011142742,777748.450272092,777748.450272092,777749.249782888,0.8,777750.470094778,777750.470094778,777752.06997039,1.6,777753.594477198,777753.957299949,0.362822751048952,78,Longer,Middle,78,L,Middle
226,Temporal,4132,4,1,10,1200,6.66666666666667,7.5,1,r,r,0,1600,0,1200,S,=,L,0.203684373262324,0.458199252017966,1.65934910472132,1.33365067328281,1.90162754556856,777755.161143737,777755.380388228,777755.380388228,777757.779883433,2.4,777759.470330247,777759.470330247,777761.070140415,1.6,777762.544492693,777763.069485748,0.524993054685183,66,Shorter,Index,78,=,Middle
