Subject,Task,SequenceOrder,ListNo,RunNo,TrialNo,Aud_Probe_Dist,Aud_Standard_Vel,Aud_Probe_Vel,Main_Control,Aud_Std_StartCode,Aud_Probe_StartCode,Aud_Std_StartPt,Aud_Std_EndPt,Aud_Probe_StartPt,Aud_Probe_EndPt,RespIndex,RespMiddle,RespRing,ISI_Cross_Std,ISI_Cross_Probe,ISI_Std_Probe,ISI_Probe_Response,ITI,TrialOnset,StdOnset,StdOnsetByStop,StdOffset,StdDur,ProbeOnset,ProbeOnsetByStop,ProbeOffset,ProbeDur,RespWinStart,RespTime,RT,CorrectKC,CorrectResponse,CorrectFinger,SubjRespKC,SubjResponse,SubjRespFinger
218,Temporal,2314,1,3,1,800,5,5,1,m,m,-800,400,-800,0,S,=,L,0.415897373067207,0.40032685194959,1.83592539672913,1.46464898229909,1.41356402934143,192438.915205894,192439.342273082,192439.342273082,192441.741964297,2.4,192443.612452982,192443.612452982,192445.212284965,1.6,192446.831937523,192447.323669489,0.491731965943472,66,Shorter,Index,66,S,Index
218,Temporal,2314,1,3,2,1600,20,20,2,r,r,0,1600,0,1600,=,L,S,0.25409005236445,0.200377874267597,1.79838039077925,1.81826463930189,1.99851160457695,192448.881998959,192449.152254264,192449.152254264,192449.952226373,0.8,192451.782401134,192451.782401134,192452.582412381,0.8,192454.548627191,192455.0599406,0.511313408962451,66,Equals to,Index,66,=,Index
218,Temporal,2314,1,3,3,800,1.66666666666667,5,1,r,r,0,400,0,800,L,S,=,0.427538266950352,0.203733847609983,1.15708209453946,1.55693726113952,1.46750359427167,192457.215351923,192457.662353437,192457.662353437,192460.062290386,2.4,192461.27250952,192461.27250952,192462.872397964,1.6,192464.56535157,192466.299812395,1.73446082460578,78,Shorter,Middle,78,S,Middle
218,Temporal,2314,1,3,4,1200,5,5,1,m,m,-800,0,-800,400,L,S,=,0.258253292682384,0.289204341945268,1.84829841820543,1.77864687584883,1.99807761482533,192467.915449704,192468.192719928,192468.192719928,192469.792539399,1.6,192471.682665988,192471.682665988,192474.082561233,2.4,192476.01542513,192476.475790665,0.460365534818266,66,Longer,Index,66,L,Index
218,Temporal,2314,1,3,5,1200,5,5,1,l,l,-1600,-800,-1600,-400,S,=,L,0.213609218654085,0.354978787845996,1.21648580173176,1.73727702920849,1.12180352058612,192478.632141297,192478.862791909,192478.862791909,192480.462560694,1.6,192481.712910574,192481.712910574,192484.112822501,2.4,192485.998819448,192486.467783443,0.46896399508114,77,Longer,Ring,77,L,Ring
218,Temporal,2314,1,3,6,1600,5,5,2,r,r,0,1600,0,1600,S,=,L,0.478642034443007,0.41912609476104,1.28294452005662,1.82593097581842,1.00465411468512,192487.732237891,192488.222731611,192488.222731611,192491.422747221,3.2,192492.733086142,192492.733086142,192495.932918575,3.2,192497.898889896,192498.355750667,0.456860771228094,78,Equals to,Middle,77,L,Ring
218,Temporal,2314,1,3,7,1200,6.66666666666667,7.5,1,m,m,-800,800,-800,400,S,=,L,0.239874440932165,0.367606938279407,1.78846091586816,1.37881746361885,1.10062355903274,192499.515643276,192499.773058091,192499.773058091,192502.173112775,2.4,192503.983050373,192503.983050373,192505.582998166,1.6,192507.115611645,192507.595828417,0.480216772441054,66,Shorter,Index,66,S,Index
218,Temporal,2314,1,3,8,800,2.5,3.33333333333333,1,r,r,0,400,0,800,S,=,L,0.324355655951218,0.286815334068674,1.71451679327633,1.82370612857931,1.02273378236248,192508.849037514,192509.193231607,192509.193231607,192510.793145715,1.6,192512.543433359,192512.543433359,192514.943034429,2.4,192516.915672982,192517.387703846,0.472030863747932,77,Longer,Ring,77,L,Ring
218,Temporal,2314,1,3,9,1600,7.5,20,2,r,r,0,1200,0,1600,=,L,S,0.345311679784739,0.201915061035832,1.60364621945717,1.5127940361015,1.65000704139018,192518.565750007,192518.923415176,192518.923415176,192520.523258388,1.6,192522.153647829,192522.153647829,192522.95314868,0.8,192524.615754722,192525.283810462,0.668055740039563,77,Shorter,Ring,77,S,Ring
218,Temporal,2314,1,3,10,1200,20,7.5,1,r,r,0,1600,0,1200,=,L,S,0.396418937080947,0.355511547275395,1.94605644843146,1.28848389728395,1.88015250559188,192527.082433964,192527.493668924,192527.493668924,192528.293514317,0.8,192530.273534483,192530.273534483,192531.873463027,1.6,192533.299104064,192533.803839424,0.504735360649647,78,Longer,Middle,78,L,Middle
