Subject,Task,SequenceOrder,ListNo,RunNo,TrialNo,Aud_Probe_Dist,Aud_Standard_Vel,Aud_Probe_Vel,Main_Control,Aud_Std_StartCode,Aud_Probe_StartCode,Aud_Std_StartPt,Aud_Std_EndPt,Aud_Probe_StartPt,Aud_Probe_EndPt,RespIndex,RespMiddle,RespRing,ISI_Cross_Std,ISI_Cross_Probe,ISI_Std_Probe,ISI_Probe_Response,ITI,TrialOnset,StdOnset,StdOnsetByStop,StdOffset,StdDur,ProbeOnset,ProbeOnsetByStop,ProbeOffset,ProbeDur,RespWinStart,RespTime,RT,CorrectKC,CorrectResponse,CorrectFinger,SubjRespKC,SubjResponse,SubjRespFinger
221,Temporal,2314,2,1,1,1200,6.66666666666667,7.5,1,l,l,-1600,0,-1600,-400,=,L,S,0.39080551709494,0.32609385952913,1.25165898200395,1.15492134357954,1.77136740396443,271055.241016417,271055.642728044,271055.642728044,271058.043166407,2.4,271059.3235238,271059.3235238,271060.923431492,1.6,271062.224410054,271062.753821235,0.529411180876195,77,Shorter,Ring,66,=,Index
221,Temporal,2314,2,1,2,1200,3.33333333333333,7.5,1,m,m,-800,0,-800,400,L,S,=,0.23521602891441,0.354720075386814,1.63398124750365,1.77908921993536,1.28887631531,271064.674469858,271064.923614074,271064.923614074,271067.323529209,2.4,271068.993610859,271068.993610859,271070.593460166,1.6,271072.524438709,271072.841619011,0.317180302983616,78,Shorter,Middle,78,S,Middle
221,Temporal,2314,2,1,3,400,5,5,2,r,r,0,400,0,400,S,=,L,0.248463101859756,0.268436936383846,1.15441142064172,1.25857114935064,1.41890324406851,271074.274523561,271074.53359564,271074.53359564,271075.333434296,0.8,271076.513694037,271076.513694037,271077.313518257,0.8,271078.70781628,271079.137612257,0.42979597626254,78,Equals to,Middle,78,=,Middle
221,Temporal,2314,2,1,4,800,1.25,3.33333333333333,1,l,l,-1600,-1200,-1600,-800,S,=,L,0.383751597768171,0.283629262392974,1.81748572789087,1.31760291348018,1.78782054921972,271080.707904501,271081.1036861,271081.1036861,271084.303509871,3.2,271086.154052681,271086.154052681,271088.553607555,2.4,271090.024561897,271090.40170686,0.377144963480532,66,Shorter,Index,78,=,Middle
221,Temporal,2314,2,1,5,1200,5,5,1,r,r,0,1600,0,1200,L,S,=,0.3896661802008,0.40142286815603,1.5506642186641,1.7994155301172,1.58159324954391,271092.357968052,271092.763812252,271092.763812252,271095.96369088,3.2,271097.543849761,271097.543849761,271099.943853758,2.4,271101.891308379,271102.265697652,0.374389272881672,78,Shorter,Middle,77,=,Ring
221,Temporal,2314,2,1,6,800,15,5,1,r,r,0,1200,0,800,S,=,L,0.44248538607062,0.339008840713309,1.13468253118408,1.97029312267102,1.10545970175738,271104.008000485,271104.464195226,271104.464195226,271105.264091305,0.8,271106.424137623,271106.424137623,271108.024022217,1.6,271110.141361151,271110.569504033,0.428142882708926,77,Longer,Ring,77,L,Ring
221,Temporal,2314,2,1,7,800,3.75,3.33333333333333,1,r,r,0,1200,0,800,=,L,S,0.433345857108944,0.378335944529513,1.00478021589728,1.43518636645052,1.95120698431808,271111.824744818,271112.274362794,271112.274362794,271115.474223136,3.2,271116.514364513,271116.514364513,271118.914229282,2.4,271120.49139352,271120.849516519,0.358122999372426,77,Shorter,Ring,66,=,Index
221,Temporal,2314,2,1,8,400,3.33333333333333,1.25,2,m,m,-800,0,-800,-400,=,L,S,0.230469775049145,0.414307993789642,1.52437345858984,1.99272655192915,1.84737762764103,271122.958152642,271123.204465457,271123.204465457,271125.604346587,2.4,271127.164438009,271127.164438009,271130.364353208,3.2,271132.491418221,271132.905499383,0.414081161667127,78,Longer,Middle,78,L,Middle
221,Temporal,2314,2,1,9,800,5,5,1,r,r,0,1200,0,800,S,=,L,0.45209711003737,0.37908966716645,1.53658662083319,1.81157344148007,1.73635721726358,271134.908179044,271135.374485148,271135.374485148,271137.774370448,2.4,271139.344730106,271139.344730106,271140.944591282,1.6,271142.908205349,271143.257690751,0.349485401296988,66,Shorter,Index,66,S,Index
221,Temporal,2314,2,1,10,800,1.25,3.33333333333333,1,m,m,-800,-400,-800,0,=,L,S,0.465396033651585,0.459903838873977,1.93248198726523,1.47508243788468,1.52504637051438,271145.141630304,271145.624633519,271145.624633519,271148.824501239,3.2,271150.784492122,271150.784492122,271153.184511518,2.4,271154.791597614,271155.145665033,0.354067418491468,77,Shorter,Ring,66,=,Index
221,Temporal,2314,2,1,11,400,5,5,2,r,r,0,800,0,400,S,=,L,0.207182337872075,0.489498066006695,1.87087678682588,1.09411405087344,1.26344676370804,271156.825016537,271157.044738383,271157.044738383,271158.644624902,1.6,271160.544818904,271160.544818904,271161.344794221,0.8,271162.591641307,271162.913574615,0.321933307743166,66,Shorter,Index,66,S,Index
221,Temporal,2314,2,1,12,800,15,5,1,m,m,-800,400,-800,0,S,=,L,0.390852874094143,0.461144229155633,1.95669135666971,1.5981667623448,1.48654093606718,271164.308391605,271164.715046475,271164.715046475,271165.514920098,0.8,271167.494906579,271167.494906579,271169.094746262,1.6,271170.841694079,271171.201511876,0.359817797201686,77,Longer,Ring,77,L,Ring
221,Temporal,2314,2,1,13,800,7.5,3.33333333333333,1,l,l,-1600,-400,-1600,-800,L,S,=,0.292532847159486,0.274154089920251,1.69316962680016,1.04518525320616,1.8108944370504,271172.875108832,271173.184939513,271173.184939513,271174.784895646,1.6,271176.515171652,271176.515171652,271178.915009794,2.4,271180.108424393,NaN,NaN,66,Longer,Index,999,Missed,Missed
221,Temporal,2314,2,1,14,800,15,5,1,m,m,-800,400,-800,0,S,=,L,0.37889702458236,0.458492951222969,1.39358790489515,1.98297339072185,1.19962354300084,271184.975189803,271185.365460021,271185.365460021,271186.165017333,0.8,271187.585286492,271187.585286492,271189.185301333,1.6,271191.325147425,271191.745553842,0.42040641780477,77,Longer,Ring,77,L,Ring
221,Temporal,2314,2,1,15,800,5,5,1,l,l,-1600,-1200,-1600,-800,L,S,=,0.298860583663883,0.305452086415834,1.33092816775037,1.33375813220812,1.79653402164234,271193.091867152,271193.405501584,271193.405501584,271194.205321633,0.8,271195.57554726,271195.57554726,271197.175401699,1.6,271198.658589894,271199.017681973,0.35909207968507,66,Longer,Index,66,L,Index
221,Temporal,2314,2,1,16,400,1.25,1.25,2,l,l,-1600,-1200,-1600,-1200,L,S,=,0.35307560492567,0.220921406414421,1.4267370563851,1.03120682395498,1.53007180480222,271200.975235356,271201.345562908,271201.345562908,271204.545398549,3.2,271205.995450339,271205.995450339,271209.195491293,3.2,271210.375268271,271210.737669488,0.362401216989383,77,Equals to,Ring,66,L,Index
221,Temporal,2314,2,1,17,400,5,5,2,l,l,-1600,-1200,-1600,-1200,=,L,S,0.263666134919181,0.477347133322554,1.26265938424651,1.73446812861835,1.70410108401964,271212.408685911,271212.685551282,271212.685551282,271213.485424585,0.8,271214.785780784,271214.785780784,271215.585464172,0.8,271217.475374824,271217.825506402,0.350131578336004,66,Equals to,Index,66,=,Index
221,Temporal,2314,2,1,18,1600,15,20,2,m,m,-800,400,-800,800,L,S,=,0.221364881875603,0.220222731093301,1.39743665908102,1.07957821395968,1.40563223269075,271219.675347894,271219.915721378,271219.915721378,271220.715745458,0.8,271222.135692532,271222.135692532,271222.935631278,0.8,271224.175349819,271224.537545722,0.362195903609972,77,Equals to,Ring,77,=,Ring
221,Temporal,2314,2,1,19,1600,20,20,2,l,l,-1600,0,-1600,0,S,=,L,0.219083196323701,0.389385972616656,1.80811388521697,1.4734156125099,1.22304670806471,271226.092102621,271226.325732523,271226.325732523,271227.125704312,0.8,271228.965831959,271228.965831959,271229.765670935,0.8,271231.375326015,271231.777516645,0.402190629625693,78,Equals to,Middle,78,=,Middle
221,Temporal,2314,2,1,20,400,1.66666666666667,1.25,2,m,m,-800,-400,-800,-400,L,S,=,0.334679335694641,0.373104688066106,1.3890124952001,1.1884953793275,1.67975308838269,271233.142140283,271233.495775953,271233.495775953,271235.895819409,2.4,271237.316079907,271237.316079907,271240.515921321,3.2,271241.84213839,271242.505561747,0.663423356891144,66,Longer,Index,66,L,Index
221,Temporal,2314,2,1,21,400,2.5,5,2,r,r,0,400,0,400,L,S,=,0.279452261891917,0.352233178729536,1.05260801116265,1.48982586518068,1.19635423349882,271244.342184586,271244.636300452,271244.636300452,271246.235888304,1.6,271247.326078668,271247.326078668,271248.125954537,0.8,271249.758894029,271250.089630519,0.330736489908304,78,Shorter,Middle,78,S,Middle
221,Temporal,2314,2,1,22,1200,20,7.5,1,l,l,-1600,0,-1600,-400,S,=,L,0.233741046356244,0.275191060166539,1.07233673963447,1.15857071657049,1.24388540779211,271251.425609343,271251.676260852,271251.676260852,271252.476161423,0.8,271253.576112513,271253.576112513,271255.176159434,1.6,271256.475539156,271256.897753615,0.422214458754752,77,Longer,Ring,77,L,Ring
221,Temporal,2314,2,1,23,1200,5,5,1,r,r,0,800,0,1200,S,=,L,0.440909843032147,0.343656824627913,1.25843747178296,1.65436397413377,1.56465732931459,271258.292296963,271258.746237748,271258.746237748,271260.346171746,1.6,271261.636490367,271261.636490367,271264.036396519,2.4,271265.842329331,271266.337741797,0.49541246611625,77,Longer,Ring,78,=,Middle
