Subject,Task,SequenceOrder,ListNo,RunNo,TrialNo,Aud_Probe_Dist,Aud_Standard_Vel,Aud_Probe_Vel,Main_Control,Aud_Std_StartCode,Aud_Probe_StartCode,Aud_Std_StartPt,Aud_Std_EndPt,Aud_Probe_StartPt,Aud_Probe_EndPt,RespIndex,RespMiddle,RespRing,ISI_Cross_Std,ISI_Cross_Probe,ISI_Std_Probe,ISI_Probe_Response,ITI,TrialOnset,StdOnset,StdOnsetByStop,StdOffset,StdDur,ProbeOnset,ProbeOnsetByStop,ProbeOffset,ProbeDur,RespWinStart,RespTime,RT,CorrectKC,CorrectResponse,CorrectFinger,SubjRespKC,SubjResponse,SubjRespFinger
205,Temporal,2314,3,2,1,1200,3.33333333333333,7.5,1,l,l,-1600,-800,-1600,-400,L,S,=,0.412413813106829,0.253754957579122,1.4417570340458,1.66685291870283,1.56726088106496,787355.049731986,787355.473161201,787355.473161201,787357.876630445,2.4,787359.356928916,787359.356928916,787360.956688472,1.6,787362.766409416,787363.487286141,0.720876725856215,78,Shorter,Middle,78,S,Middle
205,Temporal,2314,3,2,2,1200,10,5,1,l,l,-1600,0,-1600,-400,=,L,S,0.202272818795335,0.267556174903319,1.3303882594589,1.87850470201326,1.99322301663046,787365.199819774,787365.416789258,787365.416789258,787367.01676343,1.6,787368.376882149,787368.376882149,787370.776824177,2.4,787372.816463487,787373.263221447,0.4467579604825,78,Longer,Middle,78,L,Middle
205,Temporal,2314,3,2,3,1600,6.66666666666667,5,2,m,m,-800,800,-800,800,=,L,S,0.434407284671942,0.201414015886057,1.43465468366905,1.7190315014235,1.43939437079334,787375.416523348,787375.867040109,787375.867040109,787378.267054317,2.4,787379.737165404,787379.737165404,787382.936964932,3.2,787384.799917169,787385.143416392,0.343499223235995,78,Longer,Middle,78,L,Middle
205,Temporal,2314,3,2,4,1200,5,5,1,r,r,0,1600,0,1200,S,=,L,0.487463046143016,0.248961310806041,1.17745759129275,1.4039077614459,1.70073404586934,787386.733258394,787387.237334307,787387.237334307,787390.437192862,3.2,787391.647453488,787391.647453488,787394.047288047,2.4,787395.599928333,787396.215231415,0.61530308239162,66,Shorter,Index,78,=,Middle
205,Temporal,2314,3,2,5,400,5,5,2,m,m,-800,-400,-800,-400,L,S,=,0.227508744755508,0.482357557761913,1.49973473523071,1.31254235385295,1.56147833423553,787398.066639527,787398.307517411,787398.307517411,787399.107321301,0.8,787400.627634349,787400.627634349,787401.42750625,0.8,787402.899976229,787403.703327902,0.803351673530415,77,Equals to,Ring,77,=,Ring
205,Temporal,2314,3,2,6,1200,5,5,1,l,l,-1600,0,-1600,-400,L,S,=,0.256693498720973,0.422136349770798,1.57307045343659,1.67543203183078,1.03630066233856,787405.416678617,787405.687807794,787405.687807794,787408.88731058,3.2,787410.487721755,787410.487721755,787412.887548294,2.4,787414.700026209,787415.655144427,0.955118217156269,78,Shorter,Middle,66,L,Index
205,Temporal,2314,3,2,7,800,5,5,1,l,l,-1600,-400,-1600,-800,L,S,=,0.464513327266444,0.269208768109256,1.11927247483696,1.88950392733392,1.94338902419591,787416.833421987,787417.31770319,787417.31770319,787419.717518501,2.4,787420.867681392,787420.867681392,787422.467506712,1.6,787424.500060471,787425.087069793,0.587009321548976,78,Shorter,Middle,78,S,Middle
205,Temporal,2314,3,2,8,1600,5,5,2,m,m,-800,800,-800,800,L,S,=,0.401292560404528,0.219540730822501,1.3902060159033,1.23037504835624,1.5619301046477,787427.183472032,787427.597850464,787427.597850464,787430.797607325,3.2,787432.218093895,787432.218093895,787435.417649934,3.2,787436.800139805,787437.775192008,0.975052202469669,77,Equals to,Ring,66,L,Index
205,Temporal,2314,3,2,9,800,5,5,1,r,r,0,1200,0,800,=,L,S,0.28480451017753,0.318280205601746,1.44924357629011,1.82495645947837,1.26286999432465,787439.500193604,787439.79824319,787439.79824319,787442.197778441,2.4,787443.678321042,787443.678321042,787445.278102412,1.6,787447.250185022,787447.711089382,0.46090435970109,77,Shorter,Ring,66,=,Index
205,Temporal,2314,3,2,10,1200,3.33333333333333,7.5,1,l,l,-1600,-800,-1600,-400,=,L,S,0.481205305007814,0.446439787549147,1.76188146198209,1.78870111976209,1.05937779401901,787449.133565209,787449.628275632,787449.628275632,787452.028158312,2.4,787453.828276338,787453.828276338,787455.428095563,1.6,787457.366931874,787457.855206726,0.488274852745235,77,Shorter,Ring,77,S,Ring
